epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,462.468,3.39042,3.94518,4.02972,0.45578,0.09458,0.02155,0.00542,3.23375,4.09328,3.87214,0.000368353,0.000368353,0.000368353
2,988.723,2.80975,3.45541,3.31261,0.45513,0.06048,0.03236,0.01143,2.82796,3.60841,3.40879,0.00072406,0.00072406,0.00072406
3,1396.77,2.45433,3.18952,2.90197,0.31362,0.10632,0.06704,0.02036,2.61211,3.55749,3.05697,0.0010651,0.0010651,0.0010651
4,1835.6,2.27634,2.98416,2.67709,0.32682,0.1224,0.08454,0.02607,2.59176,3.15613,2.97378,0.00104501,0.00104501,0.00104501
5,2272.62,2.17194,2.82893,2.54947,0.54793,0.13738,0.10123,0.03205,2.45305,2.97334,2.87587,0.00102301,0.00102301,0.00102301
6,2689.03,2.11456,2.71782,2.47794,0.43312,0.19345,0.14334,0.04487,2.44354,2.7992,2.86163,0.00100101,0.00100101,0.00100101
7,3095.94,2.08615,2.64643,2.43723,0.41245,0.19796,0.1718,0.05526,2.38877,2.78907,2.77593,0.000979013,0.000979013,0.000979013
8,3503.68,2.04183,2.54665,2.37725,0.40467,0.22418,0.19218,0.05885,2.31826,2.61152,2.70514,0.000957015,0.000957015,0.000957015
9,3922.12,2.00798,2.48088,2.3453,0.48613,0.23635,0.19341,0.06174,2.44352,2.54605,2.80761,0.000935018,0.000935018,0.000935018
10,4325.83,1.99439,2.44023,2.32255,0.6919,0.24992,0.25889,0.08597,2.24463,2.38967,2.60176,0.00091302,0.00091302,0.00091302
11,4728.79,1.96921,2.38354,2.29737,0.62245,0.26448,0.27565,0.09521,2.17159,2.25537,2.56225,0.000891022,0.000891022,0.000891022
12,5128.79,1.94997,2.33421,2.27517,0.50198,0.31248,0.26556,0.08346,2.25722,2.31395,2.61305,0.000869024,0.000869024,0.000869024
13,5531.47,1.94153,2.28993,2.25717,0.5596,0.29382,0.26361,0.08407,2.30531,2.29283,2.66632,0.000847026,0.000847026,0.000847026
14,5933.51,1.93293,2.25953,2.25277,0.63043,0.3064,0.34139,0.12352,2.11043,2.15197,2.49347,0.000825029,0.000825029,0.000825029
15,6334.47,1.90025,2.20229,2.21669,0.65132,0.32422,0.33568,0.1173,2.23322,2.12157,2.59302,0.000803031,0.000803031,0.000803031
16,6745.02,1.87603,2.17856,2.20886,0.60301,0.35213,0.34436,0.11825,2.24865,2.03588,2.58348,0.000781033,0.000781033,0.000781033
17,7146.91,1.87888,2.14525,2.19558,0.65781,0.36696,0.38917,0.14465,2.08359,2.00324,2.43836,0.000759035,0.000759035,0.000759035
18,7554.44,1.85571,2.09858,2.17774,0.59108,0.35977,0.34985,0.1171,2.23459,2.01626,2.57298,0.000737037,0.000737037,0.000737037
