epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.19,3.48087,5.18355,4.24971,0,0,0,0,3.33854,5.129,4.15851,0.0001104,0.0001104,0.0001104
2,162.164,3.45274,5.12135,4.18097,0,0,0,0,3.32894,5.1226,4.1593,0.00021981,0.00021981,0.00021981
3,241.775,3.45129,5.06316,4.11615,0,0,0,0,3.30234,5.11398,4.1493,0.000324711,0.000324711,0.000324711
4,318.783,3.42094,5.00316,4.03009,0.0005,0.01262,0.00101,0.00037,3.29239,5.12318,4.19517,0.000324507,0.000324507,0.000324507
5,405.088,3.33476,4.93359,3.9384,0.00127,0.04517,0.00169,0.00039,3.19402,4.96164,3.92288,0.000317676,0.000317676,0.000317676
6,488.091,3.32877,4.83638,3.81916,0.00176,0.06387,0.00138,0.00047,3.1485,5.04209,4.00841,0.000310845,0.000310845,0.000310845
7,569.076,3.26692,4.77038,3.74243,0.00196,0.11255,0.00171,0.00046,3.06777,4.8156,3.72598,0.000304014,0.000304014,0.000304014
8,645.801,3.21466,4.6949,3.68117,0.00464,0.10902,0.0033,0.00081,2.99514,4.72767,3.68212,0.000297183,0.000297183,0.000297183
9,727.188,3.15229,4.61054,3.60184,0.00954,0.11063,0.00643,0.00125,3.0019,4.67815,3.55763,0.000290352,0.000290352,0.000290352
10,805.388,3.15627,4.49266,3.51924,0.00348,0.11153,0.00343,0.00099,2.99474,4.70727,3.53531,0.000283521,0.000283521,0.000283521
11,886.775,3.1338,4.4575,3.46631,0.00267,0.14205,0.0035,0.00091,2.98743,4.55864,3.47463,0.00027669,0.00027669,0.00027669
12,963.987,3.05273,4.42891,3.40386,0.24359,0.07355,0.00533,0.00128,2.92516,4.47746,3.41606,0.000269859,0.000269859,0.000269859
13,1045.25,3.01753,4.36264,3.34892,0.30525,0.02081,0.00609,0.00148,2.88539,4.45418,3.3248,0.000263028,0.000263028,0.000263028
14,1122.85,3.03219,4.27448,3.29189,0.39171,0.0155,0.00611,0.00174,2.83612,4.39052,3.27654,0.000256197,0.000256197,0.000256197
15,1202.29,2.95324,4.28623,3.27201,0.39562,0.01448,0.00915,0.00258,2.82879,4.33778,3.28614,0.000249366,0.000249366,0.000249366
16,1281.13,2.94626,4.24721,3.2266,0.40378,0.02506,0.00766,0.00173,2.83433,4.36708,3.19125,0.000242535,0.000242535,0.000242535
17,1360.58,2.92794,4.1513,3.16445,0.30149,0.02718,0.0077,0.00254,2.81874,4.35315,3.16842,0.000235704,0.000235704,0.000235704
18,1440.12,2.9024,4.20563,3.1293,0.36447,0.02004,0.00959,0.00271,2.77472,4.20175,3.14836,0.000228873,0.000228873,0.000228873
19,1519.25,2.87523,4.09756,3.09702,0.27091,0.02182,0.01003,0.00347,2.73316,4.11834,3.07774,0.000222042,0.000222042,0.000222042
20,1598.92,2.77491,4.10459,3.03801,0.31926,0.03831,0.01181,0.00412,2.72542,4.23419,3.03196,0.000215211,0.000215211,0.000215211
21,1676.01,2.81181,4.06001,3.03998,0.32287,0.03599,0.01246,0.00353,2.69152,4.10005,3.03142,0.00020838,0.00020838,0.00020838
22,1756.62,2.79042,4.03201,3.02569,0.3231,0.03218,0.02021,0.00696,2.66559,4.01048,3.01965,0.000201549,0.000201549,0.000201549
23,1833.53,2.77992,3.96839,3.00799,0.27151,0.0406,0.01764,0.00564,2.69477,4.02279,3.02324,0.000194718,0.000194718,0.000194718
24,1914.96,2.76477,3.96629,2.98309,0.28708,0.03369,0.02279,0.00654,2.67179,3.98298,2.96596,0.000187887,0.000187887,0.000187887
25,1992.49,2.72246,3.94116,2.93611,0.34045,0.03745,0.02157,0.00673,2.65951,3.93649,2.95869,0.000181056,0.000181056,0.000181056
26,2073.2,2.72739,3.93139,2.92391,0.34075,0.04075,0.02374,0.00819,2.61255,3.92916,2.90843,0.000174225,0.000174225,0.000174225
